Property,Descriptions,中文名称,新描述
workType,Classification of work performed,工作类型,已执行工作的分类。
alarmClearedTime,Indicates the time (as a date + time) at which the alarm is cleared at the source. ,告警清除时间,告警在其源头被清除的日期和时间。
workSpecification,0,工作单元规约,与实体相关的工作单元规约（模板）。
workPrice,Collection of work prices,工作价格,工作单元的价格信息集合。
relatedWorkOrderItem,Collection of related work order items,关联工单项,相关的工单项集合。
workPriority,Work Priority Level,工作优先级,工作单元的优先级。
relatedShippingOrder,0,关联发货单,相关的发货单信息。
referredDate,"Date when the prospect information was received (for example, from a trade show).",引荐日期,收到潜在客户信息的日期（例如，从展会上获得）。
timeSlot,0,时间槽,可预约的时间段。
privacyPolicyURL,"Url to Application privacy policy, if applicable.",隐私政策URL,应用的隐私政策URL链接。
weight,0,权重/重量,对象的重量，或在计算中的相对重要性（权重）。
problem,"The problems to be acknowledged, relevant in the input to this task",问题,需要被确认的问题。
childProblem,List of problems to be grouped under a parent problem,子问题,需要被归组到一个父问题下的问题列表。
problemGroup,0,问题组,与实体相关的问题组。
applicationOwner,0,应用所有者,应用的所有者信息。
numberRelOfferDefault,Default number of produc offereings that should be procured as part of the related BundledProductOffering,关联目录默认实例数,作为组合产品一部分应采购的子产品目录的默认数量。
captureDateTime,The date and time that the metric was captured,采集日期时间,指标被采集的日期和时间。
testSpecification,0,测试规约,与实体相关的测试规约（模板）。
testMeasureDefinition,A list of definitions for the measurements for the test defined by this specification,测试度量定义,此规约定义的测试中，所需度量的定义列表。
accuracy,The number of digits of accuracy captured for associated Metrics,精度,相关指标所采集的数值的精度（小数位数）。
costItemAllocation,0,成本项分摊,成本项的分摊信息。
costItemType,0,成本项类型,成本项的类型。
thresholdRule,The rule(s) associated with the measure threshold,阈值规则,与度量阈值关联的规则。
recurringChargePeriodType,"The period to repeat the application of the price
Could be month, week...",周期性费用周期类型,重复应用价格的周期，例如“月”、“周”。
isSelectable,A flag indicating whether this configuration characteristic value may be selected by the end-user in the context of the product configuration.,是否可选,一个布尔值，表明最终用户在产品配置中是否可以选择此配置特征值。
bundledPopRelationship,this object represents a bundle relationship from a bundle product offering price (parent) to a simple product offering price (child). A simple product offering price may participate in more than one bundle relationship.,组合产品价格关系,描述从一个组合产品价格（父）到一个简单产品价格（子）的捆绑关系。
itemTerm,0,项目条款,项目的条款和条件。
timestamp,Date when the error happened,时间戳,错误发生的日期和时间。
clearSystemId,Provides the id of the system where the user who invoked the alarmCleared operation is located. ,清除系统ID,调用告警清除操作的用户所在系统的ID。
customerBill,List of bills of a customer.,客户账单,客户的账单列表。
relatedChannel,"Where the interaction item took place (e.g.: web, mobile app, store, kiosk, etc.)",关联渠道,交互项发生的渠道，例如“网站”、“移动App”、“门店”。
clearUserId,Provides the id of the user who invoked the alarmCleared operation,清除用户ID,调用告警清除操作的用户的ID。
currentDuration,0,当前时长,当前的持续时长。
workTimeSlot,0,工作时间槽,工作被安排的时间段。
actualDuration,0,实际时长,实际花费的时长。
percentageComplete,Percentage of the completed work,完成百分比,已完成工作的百分比。
scheduledDuration,0,计划时长,计划安排的时长。
workCharacteristic,Work characteristics,工作特征,工作单元的特征。
workRelationship,Collection of work relationships,工作关系,工作单元之间的关系集合。
targetShipmentSchema,0,目标货运结构,目标货运的结构（Schema）和类型（Type）。
relatedWork,Collection of work references,关联工作,相关工作单元的引用集合。
shipmentSpecRelationship,"Relationship to another shipment specification, might be dependency, substitution, etc.
",货运规约关系,与另一个货运规约的关系，可能是依赖、替代等。
shipmentSpecificationCharacteristic,List of characteristics that the shipment can take,货运规约特征,货运可以拥有的特征列表。
