Schema,Descriptions,中文名称,新描述
PaymentMethodStatusChange,,支付方式状态变更事件,当一个支付方式的状态发生变化时，系统发出的通知事件。
PaymentMethodDeleteEventPayload,PaymentMethodDeleteEventPayload generic structure,支付方式删除事件数据,支付方式删除事件所携带的具体数据内容。
PaymentMethodDeleteEvent,,支付方式删除事件,当一个支付方式被删除时，系统发出的通知事件。
PaymentMethodCreateEventPayload,PaymentMethodCreateEventPayload generic structure,支付方式创建事件数据,支付方式创建事件所携带的具体数据内容。
PaymentMethodCreateEvent,,支付方式创建事件,当一个支付方式被创建时，系统发出的通知事件。
PaymentMethodAttributeValueChangeEventPayload,PaymentMethodAttributeValueChangeEventPayload generic structure,支付方式属性值变更事件数据,支付方式属性值变更事件所携带的具体数据内容。
PaymentMethodAttributeValueChangeEvent,,支付方式属性值变更事件,当一个支付方式的属性值发生变化时，系统发出的通知事件。
LoyaltyPaymentMethod,,忠诚度支付方式,一种支付方式，使用客户的忠诚度积分或里程来进行支付。
DirectDebit,,直接借记,一种支付方式，授权商家从银行账户中自动扣款。
CheckPermissionCreateEventPayload,CheckPermissionCreateEventPayload generic structure,检查权限创建事件数据,检查权限创建事件所携带的具体数据内容。
CheckPermissionCreateEvent,,检查权限创建事件,当一个检查权限的请求被创建时，系统发出的通知事件。
CheckPermission,,检查权限,用于检查某个用户或角色是否拥有执行特定操作的权限。
PromotionStateChangeEventPayload,PromotionStateChangeEventPayload generic structure,促销活动状态变更事件数据,促销活动状态变更事件所携带的具体数据内容。
PromotionStateChangeEvent,,促销活动状态变更事件,当一个促销活动的状态发生变化时，系统发出的通知事件。
PromotionPattern,Detailed pattern of the promotion.The pattern decides the conditions of promotion and the benefit of the promotion to be given to the eligible customer.,促销模式,定义了促销活动的详细规则：“如果”满足什么条件（Criteria），“那么”就执行什么动作（Action）。
PromotionDeleteEventPayload,PromotionDeleteEventPayload generic structure,促销活动删除事件数据,促销活动删除事件所携带的具体数据内容。
PromotionDeleteEvent,,促销活动删除事件,当一个促销活动被删除时，系统发出的通知事件。
PromotionCriteriaGroup,"Set of group criteria to promotion. Fulfilling these criteria, parties will receice benefits",促销标准组,一组必须同时满足的促销条件。
PromotionCriteria,Set of criteria to be followed by all parties.,促销标准,参与方需要满足的单个促销条件，例如“消费满100元”。
PromotionCreateEventPayload,PromotionCreateEventPayload generic structure,促销活动创建事件数据,促销活动创建事件所携带的具体数据内容。
PromotionCreateEvent,,促销活动创建事件,当一个促销活动被创建时，系统发出的通知事件。
PromotionAttributeValueChangeEventPayload,PromotionAttributeValueChangeEventPayload generic structure,促销活动属性值变更事件数据,促销活动属性值变更事件所携带的具体数据内容。
PromotionAttributeValueChangeEvent,,促销活动属性值变更事件,当一个促销活动的属性值发生变化时，系统发出的通知事件。
PermissionSpecification,,权限规约,定义一个具体权限的模板，描述该权限的名称、范围和约束。
PermissionSet_RES,Response object for PermissionSet,权限集响应,对权限集（PermissionSet）请求的响应对象。
PermissionSetDeleteEventPayload,PermissionSetDeleteEventPayload generic structure,权限集删除事件数据,权限集删除事件所携带的具体数据内容。
PermissionSetDeleteEvent,,权限集删除事件,当一个权限集被删除时，系统发出的通知事件。
PermissionSetCreateEventPayload,PermissionSetCreateEventPayload generic structure,权限集创建事件数据,权限集创建事件所携带的具体数据内容。
PermissionSetCreateEvent,,权限集创建事件,当一个权限集被创建时，系统发出的通知事件。
PermissionSetAttributeValueChangeEventPayload,PermissionSetAttributeValueChangeEventPayload generic structure,权限集属性值变更事件数据,权限集属性值变更事件所携带的具体数据内容。
PermissionSetAttributeValueChangeEvent,,权限集属性值变更事件,当一个权限集的属性值发生变化时，系统发出的通知事件。
PermissionSet,,权限集,一组权限的集合，可以方便地赋给某个角色。
Permission,,权限,描述一个允许执行的、单一的原子操作。
ListAssetGroup,,列表资产组,一种资产组，通过明确列出其成员的方式来定义。
JSONPathAssetGroup,,JSON路径资产组,一种资产组，通过JSONPath查询表达式来动态定义其成员。
FilterAssetGroup,,过滤资产组,一种资产组，通过一组过滤条件来定义其成员。
CheckPermission_RES,Response object for CheckPermission,检查权限响应,对检查权限（CheckPermission）请求的响应对象。
CheckPermissionStateChangeEventPayload,CheckPermissionStateChangeEventPayload generic structure,检查权限状态变更事件数据,检查权限状态变更事件所携带的具体数据内容。
CheckPermissionStateChangeEvent,,检查权限状态变更事件,当一个检查权限请求的状态发生变化时，系统发出的通知事件。
PermissionSpecificationSet_RES,Response object for PermissionSpecificationSet,权限规约集响应,对权限规约集（PermissionSpecificationSet）请求的响应对象。
PermissionSpecificationSetDeleteEventPayload,PermissionSpecificationSetDeleteEventPayload generic structure,权限规约集删除事件数据,权限规约集删除事件所携带的具体数据内容。
PermissionSpecificationSetDeleteEvent,,权限规约集删除事件,当一个权限规约集被删除时，系统发出的通知事件。
PermissionSpecificationSetCreateEventPayload,PermissionSpecificationSetCreateEventPayload generic structure,权限规约集创建事件数据,权限规约集创建事件所携带的具体数据内容。
PermissionSpecificationSetCreateEvent,,权限规约集创建事件,当一个权限规约集被创建时，系统发出的通知事件。
PermissionSpecificationSetAttributeValueChangeEventPayload,PermissionSpecificationSetAttributeValueChangeEventPayload generic structure,权限规约集属性值变更事件数据,权限规约集属性值变更事件所携带的具体数据内容。
PermissionSpecificationSetAttributeValueChangeEvent,,权限规约集属性值变更事件,当一个权限规约集的属性值发生变化时，系统发出的通知事件。
PermissionSpecificationSet,,权限规约集,一组权限规约的集合，可以方便地赋给某个角色规约。
PermissionSpecificationRefOrValue,"Related Entity reference. A related PermissionSpecification defines a PermissionSpecification described by reference or by value linked to a specific entity. The polymorphic attributes @type, @schemaLocation & @referredType are related to the PermissionSpecification entity and not the PermissionSpecificationRefOrValue class itself",权限规约引用或值,一个灵活的模型，既可以包含一个完整的权限规约信息，也可以只包含对一个已存在规约的引用。
PermissionSpecificationRef,"A PermissionSpecificationRef defines a permissible action (e.g. read, write) on some function, where a function can be an entity class name or some specific functionality.",权限规约引用,用于简要引用一个权限规约（模板）。
PermissionSpecificationDeleteEventPayload,PermissionSpecificationDeleteEventPayload generic structure,权限规约删除事件数据,权限规约删除事件所携带的具体数据内容。
PermissionSpecificationDeleteEvent,,权限规约删除事件,当一个权限规约被删除时，系统发出的通知事件。
PermissionSpecificationCreateEventPayload,PermissionSpecificationCreateEventPayload generic structure,权限规约创建事件数据,权限规约创建事件所携带的具体数据内容。
PermissionSpecificationCreateEvent,,权限规约创建事件,当一个权限规约被创建时，系统发出的通知事件。
PermissionSpecificationAttributeValueChangeEventPayload,PermissionSpecificationAttributeValueChangeEventPayload generic structure,权限规约属性值变更事件数据,权限规约属性值变更事件所携带的具体数据内容。
PermissionSpecificationAttributeValueChangeEvent,,权限规约属性值变更事件,当一个权限规约的属性值发生变化时，系统发出的通知事件。
GeographicSiteCreateEvent,,地理站点创建事件,当一个地理站点被创建时，系统发出的通知事件。
GeographicSiteAttributeValueChangeEventPayload,GeographicSiteAttributeValueChangeEventPayload generic structure,地理站点属性值变更事件数据,地理站点属性值变更事件所携带的具体数据内容。
GeographicSiteAttributeValueChangeEvent,,地理站点属性值变更事件,当一个地理站点的属性值发生变化时，系统发出的通知事件。
OpenGatewayProductOfferingAttributeValueChangeEventPayload,OpenGatewayProductOfferingAttributeValueChangeEventPayload,OGW产品目录属性值变更事件数据,Open Gateway产品目录属性值变更事件所携带的具体数据内容。
GeographicAddressValidationStateChangeEventPayload,GeographicAddressValidationStateChangeEventPayload generic structure,地理地址验证状态变更事件数据,地理地址验证状态变更事件所携带的具体数据内容。
GeographicAddressValidationStateChangeEvent,,地理地址验证状态变更事件,当一个地理地址验证请求的状态发生变化时，系统发出的通知事件。
GeographicAddressValidation,,地理地址验证,用于验证一个地理地址是否真实、准确、有效的操作请求。
